,"Rank[Note 1]
","Mountain
","Height(m)[1]
","Drop (m)[Note 2]
","Coordinates[2]
","Range [Note 3]
","Range[Note 4]
","Region [Note 5]
","Country
"
0,"1052
","Marchkopf
",2499.0,372.0,".mw-parser-output .geo-default,.mw-parser-output .geo-dms,.mw-parser-output .geo-dec{display:inline}.mw-parser-output .geo-nondefault,.mw-parser-output .geo-multi-punct{display:none}.mw-parser-output .longitude,.mw-parser-output .latitude{white-space:nowrap}47°15′04″N 11°48′22″E﻿ / ﻿47.25111°N 11.80611°E﻿ / 47.25111; 11.80611﻿ (1052. Marchkopf (2499 m))
","Tux Alps
","II/B-23.I-B
","North Tyrol
","AT
"
1,"1053
","Castello di Moschesin
",2499.0,314.0,"46°17′50″N 12°07′58″E﻿ / ﻿46.29722°N 12.13278°E﻿ / 46.29722; 12.13278﻿ (1053. Castello di Moschesin (2499 m))
","Dolomites – SE
","II/C-31.II-B
","Belluno
","IT
"
2,"1054
","Monte Croce [it]
",2496.0,533.0,"46°10′10″N 11°23′32″E﻿ / ﻿46.16944°N 11.39222°E﻿ / 46.16944; 11.39222﻿ (1054. Monte Croce (2496 m))
","Fiemme Mountains
","II/C-31.V-B
","Trentino
","IT
"
3,"1055
","Mittlere Kreuzspitze [de]
",2496.0,456.0,"47°20′10″N 10°35′34″E﻿ / ﻿47.33611°N 10.59278°E﻿ / 47.33611; 10.59278﻿ (1055. Mittlere Kreuzspitze (2496 m))
","Lechtal Alps
","II/B-21.I-B
","North Tyrol
","AT
"
4,"1056
","Les Grands Moulins
",2495.0,307.0,"45°24′26″N 06°11′54″E﻿ / ﻿45.40722°N 6.19833°E﻿ / 45.40722; 6.19833﻿ (1056. Les Grands Moulins (2495 m))
","Belledonne
","I/A-05.II.B
","Savoie
","FR
"
5,"1057
","Wannig
",2493.0,704.0,"47°20′13″N 10°51′44″E﻿ / ﻿47.33694°N 10.86222°E﻿ / 47.33694; 10.86222﻿ (1057. Wannig (2493 m))
","Mieminger Chain
","II/B-21.III-A
","North Tyrol
","AT
"
6,"1058
","Pizzo Camino
",2491.0,525.0,"45°58′54″N 10°10′39″E﻿ / ﻿45.98167°N 10.17750°E﻿ / 45.98167; 10.17750﻿ (1058. Pizzo Camino (2491 m))
","Bergamasque Prealps
","II/C-29.II-C
","Bergamo / Brescia
","IT
"
7,"1059
","Fulen
",2491.0,311.0,"46°55′07″N 08°42′53″E﻿ / ﻿46.91861°N 8.71472°E﻿ / 46.91861; 8.71472﻿ (1059. Fulen (2491 m))
","Schwyz Alps
","I/B-14.IV-A
","Schwyz / Uri
","CH
"
8,"1060
","Viezzena [it]
",2490.0,435.0,"46°20′15″N 11°40′32″E﻿ / ﻿46.33750°N 11.67556°E﻿ / 46.33750; 11.67556﻿ (1060. Viezzena (2490 m))
","Dolomites – NW
","II/C-31.III-B
","South Tyrol
","IT
"
9,"1061
","Zanggen / Pala di Santa [de]
",2488.0,498.0,"46°20′45″N 11°30′43″E﻿ / ﻿46.34583°N 11.51194°E﻿ / 46.34583; 11.51194﻿ (1061. Zanggen / Pala di Santa (2488 m))
","Fiemme Mountains
","II/C-31.V-A
","South Tyrol / Trentino
","IT
"
10,"1062
","Creton di Clap Grant [fur]
",2487.0,518.0,"46°31′45″N 12°40′14″E﻿ / ﻿46.52917°N 12.67056°E﻿ / 46.52917; 12.67056﻿ (1062. Creton di Clap Grant  (2487 m))
","Carnic Alps
","II/C-33.I-C
","Belluno
","IT
"
11,"1063
","Cima di Pinadee
",2486.0,455.0,"46°30′48″N 08°58′37″E﻿ / ﻿46.51333°N 8.97694°E﻿ / 46.51333; 8.97694﻿ (1063. Cima di Pinadee (2486 m))
","Adula Alps
","I/B-10.III-B
","Ticino
","CH
"
12,"1064
","Grand Arc
",2484.0,693.0,"45°34′00″N 06°21′53″E﻿ / ﻿45.56667°N 6.36472°E﻿ / 45.56667; 6.36472﻿ (1064. Grand Arc (2484 m))
","Lauzière massif
","I/B-07.II-F
","Savoie
","FR
"
13,"1065
","Étale (mountain)
",2483.0,997.0,"45°51′00″N 06°26′52″E﻿ / ﻿45.85000°N 6.44778°E﻿ / 45.85000; 6.44778﻿ (1065. Étale (mountain) (2483 m))
","Aravis Range
","I/B-08.IV-A
","Haute-Savoie / Savoie
","FR
"
14,"1066
","Monte Bertrand
",2483.0,385.0,"44°07′04″N 07°40′31″E﻿ / ﻿44.11778°N 7.67528°E﻿ / 44.11778; 7.67528﻿ (1066. Monte Bertrand (2483 m))
","Ligurian Alps
","I/A-01.II-A
","Alpes-Maritimes / Cuneo
","FR/IT
"
15,"1067
","Rammelstein
",2483.0,304.0,"46°50′04″N 12°03′11″E﻿ / ﻿46.83444°N 12.05306°E﻿ / 46.83444; 12.05306﻿ (1067. Rammelstein (2483 m))
","Rieserferner Group
","II/A-17.III-A
","South Tyrol
","IT
"
16,"1068
","Hochkarspitze
",2482.0,662.0,"47°26′51″N 11°21′02″E﻿ / ﻿47.44750°N 11.35056°E﻿ / 47.44750; 11.35056﻿ (1068. Hochkarspitze (2482 m))
","Karwendel
","II/B-21.IV-A
","North Tyrol / Bavaria
","AT/DE
"
17,"1069
","Rauchberg [nl]
",2480.0,483.0,"47°18′15″N 10°45′32″E﻿ / ﻿47.30417°N 10.75889°E﻿ / 47.30417; 10.75889﻿ (1069. Rauchberg (2480 m))
","Lechtal Alps
","II/B-21.I-B
","North Tyrol
","AT
"
18,"1070
","Monte Pramaggiore [it]
",2478.0,550.0,"46°21′54″N 12°33′12″E﻿ / ﻿46.36500°N 12.55333°E﻿ / 46.36500; 12.55333﻿ (1070. Monte Pramaggiore (2478 m))
","Carnic Prealps
","II/C-33.III-A
","Pordenone / Udine
","IT
"
19,"1071
","Monte Ziolera
",2478.0,345.0,"46°10′19″N 11°27′18″E﻿ / ﻿46.17194°N 11.45500°E﻿ / 46.17194; 11.45500﻿ (1071. Monte Ziolera (2478 m))
","Fiemme Mountains
","II/C-31.V-B
","Trentino
","IT
"
20,"1072
","Spillgerte
",2476.0,453.0,"46°32′12″N 07°26′48″E﻿ / ﻿46.53667°N 7.44667°E﻿ / 46.53667; 7.44667﻿ (1072. Spillgerte (2476 m))
","Bernese Alps
","I/B-14.II-A
","Bern
","CH
"
21,"1073
","Rettelkirchspitze [de]
",2475.0,687.0,"47°15′35″N 14°07′40″E﻿ / ﻿47.25972°N 14.12778°E﻿ / 47.25972; 14.12778﻿ (1073. Rettelkirchspitze (2475 m))
","Wölz Tauern
","II/A-18.III-A
","Styria
","AT
"
22,"1074
","Bivare / Monte Bìvera
",2474.0,696.0,"46°26′29″N 12°38′31″E﻿ / ﻿46.44139°N 12.64194°E﻿ / 46.44139; 12.64194﻿ (1074. Bivare / Monte Bìvera (2474 m))
","Carnic Alps
","II/C-33.I-C
","Udine
","IT
"
23,"1075
","Greim
",2474.0,686.0,"47°14′52″N 14°09′06″E﻿ / ﻿47.24778°N 14.15167°E﻿ / 47.24778; 14.15167﻿ (1075. Greim (2474 m))
","Wölz Tauern
","II/A-18.III-A
","Styria
","AT
"
24,"1076
","Monte Rinaldo
",2473.0,675.0,"46°35′56″N 12°39′29″E﻿ / ﻿46.59889°N 12.65806°E﻿ / 46.59889; 12.65806﻿ (1076. Monte Rinaldo (2473 m))
","Carnic Alps
","II/C-33.I-A
","Belluno
","IT
"
25,"1077
","Pierre Avoi
",2473.0,300.0,"46°07′05″N 07°12′01″E﻿ / ﻿46.11806°N 7.20028°E﻿ / 46.11806; 7.20028﻿ (1077. Pierre Avoi (2473 m))
","Pennine Alps
","I/B-09.I-D
","Valais
","CH
"
26,"
","Špik
",2473.0,291.0,"46°26′55″N 13°48′52″E﻿ / ﻿46.44861°N 13.81444°E﻿ / 46.44861; 13.81444﻿ (Špik (2473 m))
","Julian Alps
","II/C-34.I-D
","Slovenia
","SI
"
27,"1078
","Rappenspitze
",2472.0,305.0,"47°14′12″N 10°11′51″E﻿ / ﻿47.23667°N 10.19750°E﻿ / 47.23667; 10.19750﻿ (1078. Rappenspitze (2472 m))
","Lechtal Alps
","II/B-21.I-A
","North Tyrol / Vorarlberg
","AT
"
28,"1079
","Col Nudo
",2471.0,1644.0,"46°13′39″N 12°24′10″E﻿ / ﻿46.22750°N 12.40278°E﻿ / 46.22750; 12.40278﻿ (1079. Col Nudo (2471 m))
","Venetian Prealps
","II/C-32.II-B
","Belluno / Pordenone
","IT
"
29,"1080
","Loreakopf
",2471.0,907.0,"47°21′15″N 10°46′18″E﻿ / ﻿47.35417°N 10.77167°E﻿ / 47.35417; 10.77167﻿ (1080. Loreakopf (2471 m))
","Lechtal Alps
","II/B-21.I-B
","North Tyrol
","AT
"
30,"1081
","Cime de l'Aspre
",2471.0,468.0,"44°10′32″N 06°48′35″E﻿ / ﻿44.17556°N 6.80972°E﻿ / 44.17556; 6.80972﻿ (1081. Cime de l'Aspre (2471 m))
","Maritime Alps
","I/A-02.I-D
","Alpes-Maritimes
","FR
"
31,"1082
","Lungauer Kalkspitze [de]
",2471.0,412.0,"47°16′20″N 13°37′31″E﻿ / ﻿47.27222°N 13.62528°E﻿ / 47.27222; 13.62528﻿ (1082. Lungauer Kalkspitze (2471 m))
","Schladming Tauern
","II/A-18.II-A
","Salzburg
","AT
"
32,"1083
","Ochsenkopf[3]
",2470.0,352.0,"47°16′31″N 12°04′44″E﻿ / ﻿47.27528°N 12.07889°E﻿ / 47.27528; 12.07889﻿ (1083. Ochsenkopf  (2470 m))
","Kitzbühel Alps
","II/B-23.II-A
","North Tyrol / Salzburg
","AT
"
33,"1083
","Salzachgeier[3]
",2470.0,352.0,"47°17′37″N 12°06′13″E﻿ / ﻿47.29361°N 12.10361°E﻿ / 47.29361; 12.10361﻿ (1083. Salzachgeier  (2470 m))
","Kitzbühel Alps
","II/B-23.II-A
","North Tyrol / Salzburg
","AT
"
34,"1085
","Sasso di Bosconero
",2468.0,938.0,"46°20′11″N 12°16′07″E﻿ / ﻿46.33639°N 12.26861°E﻿ / 46.33639; 12.26861﻿ (1085. Sasso di Bosconero (2468 m))
","Dolomites – SE
","II/C-31.II-A
","Belluno
","IT
"
35,"1086
","Cima Scanaiol
",2467.0,479.0,"46°12′54″N 11°45′57″E﻿ / ﻿46.21500°N 11.76583°E﻿ / 46.21500; 11.76583﻿ (1086. Cima Scanaiol (2467 m))
","Fiemme Mountains
","II/C-31.V-B
","Trentino
","IT
"
36,"1087
","Gamskarkogel [de]
",2467.0,376.0,"47°09′40″N 13°09′31″E﻿ / ﻿47.16111°N 13.15861°E﻿ / 47.16111; 13.15861﻿ (1087. Gamskarkogel (2467 m))
","Ankogel Group
","II/A-17.II-F
","Salzburg
","AT
"
