,"Rank[Note 1]
","Mountain
","Height(m)[1]
","Drop (m)[Note 2]
","Coordinates[2]
","Range [Note 3]
","Range[Note 4]
","Region [Note 5]
","Country
","First[3]ascent
"
0,"538
","Große Zinne/Cima Grande di Lavaredo
",2999.0,545.0,"46°37′08″N 12°18′10″E﻿ / ﻿46.61889°N 12.30278°E﻿ / 46.61889; 12.30278﻿ (538. Große Zinne / Cima Grande di Lavaredo (2999 m))
","Sexten Dolomites
","II/C-31.I-A
","Belluno/S-Tyrol
","IT
","1869
"
1,"539
","Pizzo Centrale
",2999.0,451.0,"46°34′41″N 08°36′54″E﻿ / ﻿46.57806°N 8.61500°E﻿ / 46.57806; 8.61500﻿ (539. Pizzo Centrale (2999 m))
","Leone-Gotthard Alps
","I/B-10.I-B
","Ticino/Uri
","CH
","
"
2,"540
","Cima Falkner [it]
",2999.0,343.0,"46°11′36″N 10°54′17″E﻿ / ﻿46.19333°N 10.90472°E﻿ / 46.19333; 10.90472﻿ (540. Cima Falkner (2999 m))
","Brenta Dolomites
","II/C-28.IV-A
","Trentino
","IT
","1882
"
3,"541
","Piz Beverin
",2998.0,396.0,"46°39′09″N 09°21′28″E﻿ / ﻿46.65250°N 9.35778°E﻿ / 46.65250; 9.35778﻿ (541. Piz Beverin (2998 m))
","Adula Alps
","I/B-10.III-C
","Graubünden
","CH
","1707
"
4,"
","Pic d'Artsinol
",2998.0,296.0,"46°06′54″N 07°25′37″E﻿ / ﻿46.11500°N 7.42694°E﻿ / 46.11500; 7.42694﻿ (Pic d'Artsinol (2998 m))
","Grand Combin Alps
","I/B-09.I-D
","Valais
","CH
","
"
5,"542
","Bric Bouchet /Bric Bucie [it]
",2997.0,338.0,"44°49′19″N 07°01′26″E﻿ / ﻿44.82194°N 7.02389°E﻿ / 44.82194; 7.02389﻿ (542. Bric Bouchet /Bric Bucie (2997 m))
","Central Cottian Alps
","I/A-04.II-A
","H-Alpes/Turin
","FR/IT
","1876
"
6,"543
","Hoher Dachstein
",2995.0,2136.0,"47°28′31″N 13°36′20″E﻿ / ﻿47.47528°N 13.60556°E﻿ / 47.47528; 13.60556﻿ (543. Hoher Dachstein (2995 m))
","Dachstein Mountains
","II/B-25.I-B
","Styria/U-Austria
","AT
","1832
"
7,"544
","Roignais
",2995.0,1028.0,"45°38′35″N 06°41′20″E﻿ / ﻿45.64306°N 6.68889°E﻿ / 45.64306; 6.68889﻿ (544. Roignais (2995 m))
","Beaufortain Massif
","I/B-07.VI-A
","Savoie
","FR
","
"
8,"545
","Rote Säule (Tauern)
",2994.0,304.0,"47°08′48″N 12°26′38″E﻿ / ﻿47.14667°N 12.44389°E﻿ / 47.14667; 12.44389﻿ (545. Rote Säule (2994 m))
","Venediger Group
","II/A-17.II-A
","E-Tyrol/Salzburg
","AT
","1865
"
9,"546
","Le Mourre Froid
",2993.0,411.0,"44°38′18″N 06°24′01″E﻿ / ﻿44.63833°N 6.40028°E﻿ / 44.63833; 6.40028﻿ (546. Le Mourre Froid (2993 m))
","Massif des Écrins
","I/A-05.III-C
","Hautes-Alpes
","FR
","
"
10,"547
","Grand Parpaillon [it]
",2990.0,335.0,"44°29′38″N 06°39′07″E﻿ / ﻿44.49389°N 6.65194°E﻿ / 44.49389; 6.65194﻿ (547. Grand Parpaillon (2990 m))
","Southern Cottian Alps
","I/A-04.I-B
","A-d-H-Provence
","FR
","
"
11,"548
","Mittler Fanis / Fanis di Mezzo
",2989.0,658.0,"46°33′05″N 12°00′51″E﻿ / ﻿46.55139°N 12.01417°E﻿ / 46.55139; 12.01417﻿ (548. Mittler Fanis / Fanis di Mezzo (2989 m))
","Dolomites - NE
","II/C-31.I-C
","Belluno/S-Tyrol
","IT
","1898
"
12,"549
","Felber Tauernkogel
",2988.0,377.0,"47°09′28″N 12°29′02″E﻿ / ﻿47.15778°N 12.48389°E﻿ / 47.15778; 12.48389﻿ (549. Felber Tauernkogel (2988 m))
","Venediger Group
","II/A-17.II-A
","E-Tyrol/Salzburg
","AT
","1854
"
