,Unnamed: 0,"Rank[Note 1]
","Mountain
","Height(m)[1]
","Drop (m)[Note 2]
","Coordinates[2]
","Range [Note 3]
","Range[Note 4]
","Region [Note 5]
","Country
","First[3]ascent
","Rank[Note 2]
","Height(m) [2]
","Drop (m)[Note 3]
","Coordinates[4]
","Range [Note 4]
","Range[Note 5]
","Region [Note 6]
","First[5]ascent
"
0,0,"1052
","Marchkopf
",2499,372,".mw-parser-output .geo-default,.mw-parser-output .geo-dms,.mw-parser-output .geo-dec{display:inline}.mw-parser-output .geo-nondefault,.mw-parser-output .geo-multi-punct{display:none}.mw-parser-output .longitude,.mw-parser-output .latitude{white-space:nowrap}47°15′04″N 11°48′22″E﻿ / ﻿47.25111°N 11.80611°E﻿ / 47.25111; 11.80611﻿ (1052. Marchkopf (2499 m))
","Tux Alps
","II/B-23.I-B
","North Tyrol
","AT
",,,,,,,,,
1,1,"1053
","Castello di Moschesin
",2499,314,"46°17′50″N 12°07′58″E﻿ / ﻿46.29722°N 12.13278°E﻿ / 46.29722; 12.13278﻿ (1053. Castello di Moschesin (2499 m))
","Dolomites – SE
","II/C-31.II-B
","Belluno
","IT
",,,,,,,,,
2,2,"1054
","Monte Croce [it]
",2496,533,"46°10′10″N 11°23′32″E﻿ / ﻿46.16944°N 11.39222°E﻿ / 46.16944; 11.39222﻿ (1054. Monte Croce (2496 m))
","Fiemme Mountains
","II/C-31.V-B
","Trentino
","IT
",,,,,,,,,
3,3,"1055
","Mittlere Kreuzspitze [de]
",2496,456,"47°20′10″N 10°35′34″E﻿ / ﻿47.33611°N 10.59278°E﻿ / 47.33611; 10.59278﻿ (1055. Mittlere Kreuzspitze (2496 m))
","Lechtal Alps
","II/B-21.I-B
","North Tyrol
","AT
",,,,,,,,,
4,4,"1056
","Les Grands Moulins
",2495,307,"45°24′26″N 06°11′54″E﻿ / ﻿45.40722°N 6.19833°E﻿ / 45.40722; 6.19833﻿ (1056. Les Grands Moulins (2495 m))
","Belledonne
","I/A-05.II.B
","Savoie
","FR
",,,,,,,,,
5,5,"1057
","Wannig
",2493,704,"47°20′13″N 10°51′44″E﻿ / ﻿47.33694°N 10.86222°E﻿ / 47.33694; 10.86222﻿ (1057. Wannig (2493 m))
","Mieminger Chain
","II/B-21.III-A
","North Tyrol
","AT
",,,,,,,,,
6,6,"1058
","Pizzo Camino
",2491,525,"45°58′54″N 10°10′39″E﻿ / ﻿45.98167°N 10.17750°E﻿ / 45.98167; 10.17750﻿ (1058. Pizzo Camino (2491 m))
","Bergamasque Prealps
","II/C-29.II-C
","Bergamo / Brescia
","IT
",,,,,,,,,
7,7,"1059
","Fulen
",2491,311,"46°55′07″N 08°42′53″E﻿ / ﻿46.91861°N 8.71472°E﻿ / 46.91861; 8.71472﻿ (1059. Fulen (2491 m))
","Schwyz Alps
","I/B-14.IV-A
","Schwyz / Uri
","CH
",,,,,,,,,
8,8,"1060
","Viezzena [it]
",2490,435,"46°20′15″N 11°40′32″E﻿ / ﻿46.33750°N 11.67556°E﻿ / 46.33750; 11.67556﻿ (1060. Viezzena (2490 m))
","Dolomites – NW
","II/C-31.III-B
","South Tyrol
","IT
",,,,,,,,,
9,9,"1061
","Zanggen / Pala di Santa [de]
",2488,498,"46°20′45″N 11°30′43″E﻿ / ﻿46.34583°N 11.51194°E﻿ / 46.34583; 11.51194﻿ (1061. Zanggen / Pala di Santa (2488 m))
","Fiemme Mountains
","II/C-31.V-A
","South Tyrol / Trentino
","IT
",,,,,,,,,
10,10,"1062
","Creton di Clap Grant [fur]
",2487,518,"46°31′45″N 12°40′14″E﻿ / ﻿46.52917°N 12.67056°E﻿ / 46.52917; 12.67056﻿ (1062. Creton di Clap Grant  (2487 m))
","Carnic Alps
","II/C-33.I-C
","Belluno
","IT
",,,,,,,,,
